element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,CD84,CD84,,1847.1926364470523,2592.4307935595953,-745.2381571125429,negative
vertex,CD86,CD86,,1847.1926364470523,2592.2197177277376,-745.0270812806853,negative
vertex,CD9,CD9,,1847.1926364470523,2592.126732633512,-744.9340961864596,negative
vertex,CD96,CD96,,1847.1926364470523,2592.8533018134735,-745.6606653664212,negative
vertex,CD97,CD97,,1847.1926364470523,2592.0946737375307,-744.9020372904783,negative
vertex,CDC25B,CDC25B,,1847.1926364470523,2592.4859600848736,-745.2933236378212,negative
vertex,CDC26,CDC26,,1847.1926364470523,2592.3698032774346,-745.1771668303822,negative
vertex,CDC42EP3,CDC42EP3,,1847.1926364470523,2592.908279946509,-745.7156434994567,negative
vertex,CDK2AP1;LOC100047490,CDK2AP1;LOC100047490,,1847.1926364470523,2608.6823634954912,-761.4897270484389,negative
vertex,CDK5R1,CDK5R1,,1847.1926364470523,2608.716531026211,-761.5238945791589,negative
vertex,CDK6,CDK6,,1847.1926364470523,2592.6522919178296,-745.4596554707773,negative
vertex,CDKN2D;GM4694,CDKN2D;GM4694,,1847.1926364470523,2592.8611363245377,-745.6684998774854,negative
vertex,CDS2,CDS2,,1847.1926364470523,2592.864255851452,-745.6716194043997,negative
vertex,CEBPB,CEBPB,,1847.1926364470523,2592.9215864566786,-745.7289500096263,negative
vertex,CELA1,CELA1,,1847.1926364470523,2592.945526720771,-745.7528902737185,negative
vertex,CENPM,CENPM,,1847.1926364470523,2592.6578461893305,-745.4652097422781,negative
vertex,CENPN,CENPN,,1847.1926364470523,2592.680832358275,-745.4881959112226,negative
vertex,CEP55,CEP55,,1847.1926364470523,2592.7606189324974,-745.5679824854451,negative
vertex,CHCHD5,CHCHD5,,1847.1926364470523,2592.5244893896743,-745.3318529426219,negative
vertex,CHD7,CHD7,,1847.1926364470523,2591.3862620207874,-744.1936255737351,negative
vertex,CHM,CHM,,1847.1926364470523,2591.949671766138,-744.7570353190858,negative
vertex,CHMP4B;LOC674706,CHMP4B;LOC674706,,1847.1926364470523,2591.7912587850874,-744.598622338035,negative
vertex,CHST12,CHST12,,1847.1926364470523,2591.8145275765633,-744.6218911295109,negative
vertex,CHST15,CHST15,,1847.1926364470523,2592.055062496579,-744.8624260495267,negative
vertex,CISH,CISH,,1847.1926364470523,2591.8583775159755,-744.6657410689231,negative
