base_id,family,n,kind,loss,C,V_k_C,best_D_KL_nats,best_perturbation_id,n_candidates,n_feasible,upper_bound
modular_n8_s1000,modular,8,EDGE_ADD,L_SINGLE_TARGET,0.5,0.029296875,0.03433414901265211,"EDGE_ADD:6,1:add",43,13,0.24863075664837392
modular_n8_s1000,modular,8,EDGE_REMOVE,L_LINEAR,0.0,,,,12,0,0.2581787109375
modular_n8_s1000,modular,8,EDGE_REMOVE,L_LINEAR,0.1,,,,12,0,0.3225932282302843
modular_n8_s1000,modular,8,EDGE_REMOVE,L_LINEAR,0.25,,,,12,0,0.3586215290059781
modular_n8_s1000,modular,8,EDGE_REMOVE,L_LINEAR,0.5,0.20654296875,0.4703898883866767,"EDGE_REMOVE:1,2:remove",12,1,0.39769297029789835
modular_n8_s1000,modular,8,EDGE_REMOVE,L_SINGLE_TARGET,0.0,,,,12,0,0.0146484375
modular_n8_s1000,modular,8,EDGE_REMOVE,L_SINGLE_TARGET,0.1,,,,12,0,0.09472321671541695
modular_n8_s1000,modular,8,EDGE_REMOVE,L_SINGLE_TARGET,0.25,,,,12,0,0.16064721101144533
modular_n8_s1000,modular,8,EDGE_REMOVE,L_SINGLE_TARGET,0.5,0.025390625,0.4703898883866767,"EDGE_REMOVE:1,2:remove",12,1,0.24863075664837392
modular_n10_s1000,modular,10,EDGE_ADD,L_LINEAR,0.0,,,,60,0,0.396640625
modular_n10_s1000,modular,10,EDGE_ADD,L_LINEAR,0.1,0.40215494791666667,0.023941155104008065,"EDGE_ADD:9,4:add",60,23,0.4444291042597548
modular_n10_s1000,modular,10,EDGE_ADD,L_LINEAR,0.25,0.40215494791666667,0.023941155104008065,"EDGE_ADD:9,4:add",60,23,0.47294800009049437
modular_n10_s1000,modular,10,EDGE_ADD,L_LINEAR,0.5,0.40215494791666667,0.023941155104008065,"EDGE_ADD:9,4:add",60,23,0.5061371219559075
modular_n10_s1000,modular,10,EDGE_ADD,L_SINGLE_TARGET,0.0,,,,60,0,0.001953125
modular_n10_s1000,modular,10,EDGE_ADD,L_SINGLE_TARGET,0.1,0.00390625,0.0028562130364628876,"EDGE_ADD:1,9:add",60,23,0.04529637427681114
modular_n10_s1000,modular,10,EDGE_ADD,L_SINGLE_TARGET,0.25,0.00390625,0.0028562130364628876,"EDGE_ADD:1,9:add",60,23,0.08734030330993589
modular_n10_s1000,modular,10,EDGE_ADD,L_SINGLE_TARGET,0.5,0.00390625,0.0028562130364628876,"EDGE_ADD:1,9:add",60,23,0.14685138765783393
modular_n10_s1000,modular,10,EDGE_REMOVE,L_LINEAR,0.0,,,,26,0,0.396640625
modular_n10_s1000,modular,10,EDGE_REMOVE,L_LINEAR,0.1,0.39872395833333335,0.0031255163018049656,"EDGE_REMOVE:3,2:remove",26,3,0.4444291042597548
modular_n10_s1000,modular,10,EDGE_REMOVE,L_LINEAR,0.25,0.421953125,0.1181576839044245,"EDGE_REMOVE:2,0:remove",26,4,0.47294800009049437
modular_n10_s1000,modular,10,EDGE_REMOVE,L_LINEAR,0.5,0.421953125,0.1181576839044245,"EDGE_REMOVE:2,0:remove",26,4,0.5061371219559075
modular_n10_s1000,modular,10,EDGE_REMOVE,L_SINGLE_TARGET,0.0,,,,26,0,0.001953125
modular_n10_s1000,modular,10,EDGE_REMOVE,L_SINGLE_TARGET,0.1,0.01953125,0.03316185426018999,"EDGE_REMOVE:7,3:remove",26,3,0.04529637427681114
modular_n10_s1000,modular,10,EDGE_REMOVE,L_SINGLE_TARGET,0.25,0.01953125,0.03316185426018999,"EDGE_REMOVE:7,3:remove",26,4,0.08734030330993589
modular_n10_s1000,modular,10,EDGE_REMOVE,L_SINGLE_TARGET,0.5,0.01953125,0.03316185426018999,"EDGE_REMOVE:7,3:remove",26,4,0.14685138765783393
modular_n12_s1000,modular,12,EDGE_ADD,L_LINEAR,0.0,,,,102,0,0.2937384711371528
modular_n12_s1000,modular,12,EDGE_ADD,L_LINEAR,0.1,0.35843827989366317,0.080994969895759,"EDGE_ADD:11,2:add",102,8,0.37743314657931615
modular_n12_s1000,modular,12,EDGE_ADD,L_LINEAR,0.25,0.392531500922309,0.18806032978621073,"EDGE_ADD:11,5:add",102,17,0.4272942165410128
modular_n12_s1000,modular,12,EDGE_ADD,L_LINEAR,0.5,0.392531500922309,0.18806032978621073,"EDGE_ADD:11,5:add",102,17,0.4845188907011195
modular_n12_s1000,modular,12,EDGE_ADD,L_SINGLE_TARGET,0.0,,,,102,0,0.02001953125
modular_n12_s1000,modular,12,EDGE_ADD,L_SINGLE_TARGET,0.1,0.056884765625,0.07001065920260971,"EDGE_ADD:9,3:add",102,8,0.10907730077175092
modular_n12_s1000,modular,12,EDGE_ADD,L_SINGLE_TARGET,0.25,0.056884765625,0.07001065920260971,"EDGE_ADD:9,3:add",102,17,0.180361211523182
modular_n12_s1000,modular,12,EDGE_ADD,L_SINGLE_TARGET,0.5,0.056884765625,0.07001065920260971,"EDGE_ADD:9,3:add",102,17,0.27434399414041305
modular_n12_s1000,modular,12,EDGE_REMOVE,L_LINEAR,0.0,,,,22,0,0.2937384711371528
modular_n12_s1000,modular,12,EDGE_REMOVE,L_LINEAR,0.1,0.2720455593532986,0.09798142503931198,"EDGE_REMOVE:10,6:remove",22,1,0.37743314657931615
modular_n12_s1000,modular,12,EDGE_REMOVE,L_LINEAR,0.25,0.3868832058376736,0.18995995390228895,"EDGE_REMOVE:11,8:remove",22,2,0.4272942165410128
modular_n12_s1000,modular,12,EDGE_REMOVE,L_LINEAR,0.5,0.3868832058376736,0.18995995390228895,"EDGE_REMOVE:11,8:remove",22,2,0.4845188907011195
modular_n12_s1000,modular,12,EDGE_REMOVE,L_SINGLE_TARGET,0.0,,,,22,0,0.02001953125
modular_n12_s1000,modular,12,EDGE_REMOVE,L_SINGLE_TARGET,0.1,0.0,0.09798142503931198,"EDGE_REMOVE:10,6:remove",22,1,0.10907730077175092
modular_n12_s1000,modular,12,EDGE_REMOVE,L_SINGLE_TARGET,0.25,0.0,0.09798142503931198,"EDGE_REMOVE:10,6:remove",22,2,0.180361211523182
modular_n12_s1000,modular,12,EDGE_REMOVE,L_SINGLE_TARGET,0.5,0.0,0.09798142503931198,"EDGE_REMOVE:10,6:remove",22,2,0.27434399414041305
hub_n8_s1000,hub,8,EDGE_ADD,L_LINEAR,0.0,0.4140625,0.0,"EDGE_ADD:5,2:add",41,5,0.4140625
hub_n8_s1000,hub,8,EDGE_ADD,L_LINEAR,0.1,0.59375,0.06522531167301548,"EDGE_ADD:0,5:add",41,20,0.6363633215613552
hub_n8_s1000,hub,8,EDGE_ADD,L_LINEAR,0.25,0.59375,0.06522531167301548,"EDGE_ADD:0,5:add",41,21,0.7617744286093032
hub_n8_s1000,hub,8,EDGE_ADD,L_LINEAR,0.5,0.59375,0.06522531167301548,"EDGE_ADD:0,5:add",41,23,0.8912690277382518
hub_n8_s1000,hub,8,EDGE_ADD,L_SINGLE_TARGET,0.0,0.5859375,0.0,"EDGE_ADD:5,2:add",41,5,0.5859375
hub_n8_s1000,hub,8,EDGE_ADD,L_SINGLE_TARGET,0.1,0.78125,0.085169999614253,"EDGE_ADD:4,1:add",41,20,0.796544283298311
hub_n8_s1000,hub,8,EDGE_ADD,L_SINGLE_TARGET,0.25,0.890625,0.22731010936497664,"EDGE_ADD:4,5:add",41,21,0.9031265136077076
hub_n8_s1000,hub,8,EDGE_ADD,L_SINGLE_TARGET,0.5,0.921875,0.28750093815689876,"EDGE_ADD:4,6:add",41,23,0.9940113340117187
hub_n8_s1000,hub,8,EDGE_REMOVE,L_LINEAR,0.0,0.4140625,0.0,"EDGE_REMOVE:6,0:remove",13,1,0.4140625
hub_n8_s1000,hub,8,EDGE_REMOVE,L_LINEAR,0.1,0.609375,0.07708799858839396,"EDGE_REMOVE:2,4:remove",13,7,0.6363633215613552
hub_n8_s1000,hub,8,EDGE_REMOVE,L_LINEAR,0.25,0.609375,0.07708799858839396,"EDGE_REMOVE:2,4:remove",13,7,0.7617744286093032
hub_n8_s1000,hub,8,EDGE_REMOVE,L_LINEAR,0.5,0.609375,0.07708799858839396,"EDGE_REMOVE:2,4:remove",13,9,0.8912690277382518
hub_n8_s1000,hub,8,EDGE_REMOVE,L_SINGLE_TARGET,0.0,0.5859375,0.0,"EDGE_REMOVE:6,0:remove",13,1,0.5859375
hub_n8_s1000,hub,8,EDGE_REMOVE,L_SINGLE_TARGET,0.1,0.6875,0.021954588323120583,"EDGE_REMOVE:0,6:remove",13,7,0.796544283298311
hub_n8_s1000,hub,8,EDGE_REMOVE,L_SINGLE_TARGET,0.25,0.6875,0.021954588323120583,"EDGE_REMOVE:0,6:remove",13,7,0.9031265136077076
hub_n8_s1000,hub,8,EDGE_REMOVE,L_SINGLE_TARGET,0.5,0.96875,0.40633123317807146,"EDGE_REMOVE:4,0:remove",13,9,0.9940113340117187
hub_n10_s1000,hub,10,EDGE_ADD,L_LINEAR,0.0,,,,70,0,0.12431640625000001
hub_n10_s1000,hub,10,EDGE_ADD,L_LINEAR,0.1,0.22109375,0.06185339835213993,"EDGE_ADD:0,3:add",70,11,0.2510946072502963
hub_n10_s1000,hub,10,EDGE_ADD,L_LINEAR,0.25,0.22109375,0.06185339835213993,"EDGE_ADD:0,3:add",70,22,0.33352756164364855
hub_n10_s1000,hub,10,EDGE_ADD,L_LINEAR,0.5,0.22109375,0.06185339835213993,"EDGE_ADD:0,3:add",70,22,0.43092908352643805
hub_n10_s1000,hub,10,EDGE_ADD,L_SINGLE_TARGET,0.0,,,,70,0,0.032470703125
hub_n10_s1000,hub,10,EDGE_ADD,L_SINGLE_TARGET,0.1,0.044921875,0.06185339835213993,"EDGE_ADD:0,3:add",70,11,0.13794237075370505
hub_n10_s1000,hub,10,EDGE_ADD,L_SINGLE_TARGET,0.25,0.044921875,0.06185339835213993,"EDGE_ADD:0,3:add",70,22,0.21868915608337725
hub_n10_s1000,hub,10,EDGE_ADD,L_SINGLE_TARGET,0.5,0.044921875,0.06185339835213993,"EDGE_ADD:0,3:add",70,22,0.3229126976622836
hub_n10_s1000,hub,10,EDGE_REMOVE,L_LINEAR,0.0,,,,21,0,0.12431640625000001
hub_n10_s1000,hub,10,EDGE_REMOVE,L_LINEAR,0.1,0.0693359375,0.07712826512835841,"EDGE_REMOVE:0,8:remove",21,1,0.2510946072502963
hub_n10_s1000,hub,10,EDGE_REMOVE,L_LINEAR,0.25,0.1375,0.17720251402304948,"EDGE_REMOVE:8,7:remove",21,6,0.33352756164364855
hub_n10_s1000,hub,10,EDGE_REMOVE,L_LINEAR,0.5,0.1375,0.17720251402304948,"EDGE_REMOVE:8,7:remove",21,6,0.43092908352643805
hub_n10_s1000,hub,10,EDGE_REMOVE,L_SINGLE_TARGET,0.0,,,,21,0,0.032470703125
hub_n10_s1000,hub,10,EDGE_REMOVE,L_SINGLE_TARGET,0.1,0.03466796875,0.07712826512835841,"EDGE_REMOVE:0,8:remove",21,1,0.13794237075370505
