n,replicate,seed,task,query_nodes,target_bits,wall_time_seconds,peak_memory_bytes,support_size,free_coordinates,overlap_multiplicity,support_assignments_count,reduction_factor,total_global_states,support_union,support_assignments_sample
80,4,8004,T2_small,"[10, 11, 12, 13]","[0, 1, 0, 1]",0.00017183400632347912,7464,7,73,8,2,9444732965739290427392,18889465931478580854784,"[6, 7, 8, 9, 10, 11, 12]","[[0, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1]]"
80,4,8004,T3_medium,"[12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 1, 1, 1, 1, 1, 1]",0.0005804159882245585,25968,11,69,15,22,590295810358705651712,12986507827891524337664,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[[0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1], [0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1], [0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1], [0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1], [0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1], [0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1], [0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1]]"
200,0,20000,T1_single,[4],[0],8.974999946076423e-05,7808,4,196,0,15,100433627766186892221372630771322662657637687111424552206336,1506504416492803383320589461569839939864565306671368283095040,"[1, 2, 3, 200]","[[1, 0, 0, 0], [0, 1, 0, 0], [1, 1, 0, 0], [0, 0, 1, 0], [1, 0, 1, 0], [0, 1, 1, 0], [1, 1, 1, 0], [0, 0, 0, 1]]"
200,0,20000,T2_small,"[6, 7, 8, 9]","[0, 0, 0, 0]",0.000517416003276594,23152,7,193,5,27,12554203470773361527671578846415332832204710888928069025792,338963493710880761247132628853213986469527194001057863696384,"[2, 3, 4, 5, 6, 7, 8]","[[1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 0, 1, 1, 0], [1, 0, 1, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0], [0, 1, 0, 0, 1, 1, 0], [0, 1, 1, 0, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0]]"
200,0,20000,T3_medium,"[8, 9, 10, 11, 12, 13, 14, 15]","[0, 0, 1, 0, 1, 1, 1, 0]",0.0009130839898716658,35744,11,189,10,32,784637716923335095479473677900958302012794430558004314112,25108406941546723055343157692830665664409421777856138051584,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]]"
200,1,20001,T1_single,[5],[1],4.924999666400254e-05,4216,3,197,0,7,200867255532373784442745261542645325315275374222849104412672,1406070788726616491099216830798517277206927619559943730888704,"[1, 3, 4]","[[0, 0, 0], [1, 0, 0], [0, 1, 0], [1, 1, 0], [0, 0, 1], [1, 0, 1], [0, 1, 1]]"
200,1,20001,T2_small,"[7, 8, 9, 10]","[0, 0, 1, 1]",9.891699301078916e-05,3936,4,196,3,3,100433627766186892221372630771322662657637687111424552206336,301300883298560676664117892313967987972913061334273656619008,"[4, 5, 6, 7]","[[0, 0, 1, 0], [1, 0, 1, 0], [0, 1, 1, 0]]"
200,1,20001,T3_medium,"[9, 10, 11, 12, 13, 14, 15, 16]","[1, 1, 1, 0, 0, 1, 1, 1]",0.00041008299740497023,14928,9,191,11,16,3138550867693340381917894711603833208051177722232017256448,50216813883093446110686315385661331328818843555712276103168,"[6, 7, 8, 9, 10, 11, 13, 14, 15]","[[1, 0, 1, 0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0, 1, 1, 0], [1, 0, 1, 0, 0, 1, 0, 0, 1], [1, 0, 1, 0, 0, 1, 0, 1, 0], [1, 0, 1, 0, 0, 1, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 1, 0], [1, 0, 0, 1, 0, 0, 0, 1, 0], [1, 0, 0, 1, 0, 0, 1, 1, 0]]"
200,2,20002,T1_single,[6],[1],2.2958003683015704e-05,1544,2,198,0,1,401734511064747568885490523085290650630550748445698208825344,401734511064747568885490523085290650630550748445698208825344,"[2, 5]","[[1, 1]]"
200,2,20002,T2_small,"[8, 9, 10, 11]","[1, 0, 0, 1]",0.000879166997037828,45344,7,193,7,71,12554203470773361527671578846415332832204710888928069025792,891348446424908668464682098095488631086534473113892900831232,"[4, 5, 6, 7, 8, 9, 10]","[[1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 1]]"
200,2,20002,T3_medium,"[10, 11, 12, 13, 14, 15, 16, 17]","[0, 1, 1, 1, 0, 1, 0, 0]",0.00250883300032001,141440,11,189,13,140,784637716923335095479473677900958302012794430558004314112,109849280369266913367126314906134162281791220278120603975680,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1], [1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0], [1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]]"
200,3,20003,T1_single,[7],[0],8.89999937498942e-05,7808,4,196,0,15,100433627766186892221372630771322662657637687111424552206336,1506504416492803383320589461569839939864565306671368283095040,"[3, 4, 5, 6]","[[0, 0, 0, 0], [1, 0, 0, 0], [0, 1, 0, 0], [1, 1, 0, 0], [0, 0, 1, 0], [1, 0, 1, 0], [0, 1, 1, 0], [1, 1, 1, 0]]"
